hour,obs_SAN YSIDRO,obs_NESTOR - BES,obs_IB CIVIC CTR,pred_SAN YSIDRO,pred_NESTOR - BES,pred_IB CIVIC CTR
2026-03-13 00:00:00-07:00,2.1,2.5,1.8,0.0,0.006974763829962626,0.2673679825475605
2026-03-13 01:00:00-07:00,2.0,2.0,1.9,0.0,1.588745876042962e-07,0.00014246395165771287
2026-03-13 02:00:00-07:00,2.2,1.8,1.7,0.0,0.23201583609325463,2.2334592836378735
2026-03-13 03:00:00-07:00,1.9,2.0,6.3,0.024608498623761403,10.034218561045149,3.691537049890952
2026-03-13 04:00:00-07:00,4.5,12.8,7.9,1.6281549426482165,1.0302446943729617,0.29205664879555676
2026-03-13 05:00:00-07:00,6.4,16.4,6.2,7.145084900130198,1.7557466180130141,1.11378505400409
2026-03-13 06:00:00-07:00,7.0,2.9,1.2,10.150951131134896,0.837525904332334,1.4904087828458787
2026-03-13 07:00:00-07:00,6.4,1.3,0.8,11.899844378939495,6.7592992147301665,0.12718775736459909
2026-03-13 08:00:00-07:00,6.1,2.8,0.7,7.103510430917569,4.438322290326232,0.42279106287721624
2026-03-13 09:00:00-07:00,1.8,4.2,0.7,3.2582389619330794,2.2328642655353073,2.409358995319877
2026-03-13 10:00:00-07:00,2.7,2.5,1.4,7.687014139168412,0.4490542279176426,4.70903559662995
2026-03-13 11:00:00-07:00,3.2,3.9,1.7,6.412289729657962,11.684481039165334,1.7875261242889795
2026-03-13 12:00:00-07:00,2.7,2.2,5.0,0.20410381713481981,2.223487447892266,0.023541895660065315
2026-03-13 13:00:00-07:00,1.9,2.8,4.0,0.20489663125384164,2.862631290915228,0.0874000708201916
2026-03-13 14:00:00-07:00,35.5,4.6,6.1,28.642373041750716,21.82528405544772,23.080985366033246
2026-03-13 15:00:00-07:00,12.4,111.7,11.3,10.051469529088422,1.5669876645906773,31.210249184918833
2026-03-13 16:00:00-07:00,2.4,165.6,21.6,4.214395178982644,123.99914951490626,44.6863504463832
2026-03-13 17:00:00-07:00,11.9,394.0,103.6,111.2798212757247,77.19907921619733,44.40829706575349
2026-03-13 18:00:00-07:00,17.5,96.8,62.1,4.878976380725618e-15,14.775517567342892,28.918078046432534
2026-03-13 19:00:00-07:00,2.6,57.6,2.6,4.794801548437798e-170,9.723924421856877,7.945748629163475
2026-03-13 20:00:00-07:00,4.2,32.8,26.1,0.0,1.11654515942727e-12,1.0632472071408906e-08
2026-03-13 21:00:00-07:00,10.4,11.1,7.2,0.0,6.112929939051856e-29,8.977294840520263e-22
2026-03-13 22:00:00-07:00,12.1,5.2,2.5,2.1128689155089445e-33,0.08650506958242658,4.516287760667896
2026-03-13 23:00:00-07:00,25.9,33.0,2.3,2.7624661261380632e-15,8.365866852151514,16.373354737250406
2026-03-14 00:00:00-07:00,8.0,49.8,7.6,2.4689633e-316,1.1388495562940615,5.663218774262395
2026-03-14 01:00:00-07:00,11.0,24.9,9.8,5.8464426650418465e-58,1.7065957167895258,1.6151452150825276
2026-03-14 02:00:00-07:00,2.8,103.7,5.3,8.61960132302837e-18,0.3457851030047848,3.74353314240999
2026-03-14 03:00:00-07:00,4.8,4.5,3.4,3.2729267557261794,6.066311429390405,1.0449564500703417
2026-03-14 04:00:00-07:00,3.8,3.9,2.0,5.718474415901034,2.492526595286142,9.408401087230313
2026-03-14 05:00:00-07:00,3.2,3.2,0.5,1.65104226585076,0.8119641215131606,11.170235176921985
2026-03-14 06:00:00-07:00,2.7,1.4,0.3,4.791455027638327,0.536022293515375,3.8051470784654198
2026-03-14 07:00:00-07:00,2.7,1.2,0.6,4.089916570454801,0.2870278561941003,2.667278703674361
2026-03-14 08:00:00-07:00,2.9,1.0,0.5,1.0338341253473984,0.4827797038255071,6.795081805342435
2026-03-14 09:00:00-07:00,2.4,1.1,0.5,5.19965177717371,0.12522485312875695,4.08470635584838
2026-03-14 10:00:00-07:00,3.8,1.4,1.3,6.450048921760104,4.922777916546762,10.115895353278905
2026-03-14 11:00:00-07:00,5.3,1.9,1.3,7.832533852030458,5.980783414726289,12.646277539534424
2026-03-14 12:00:00-07:00,6.3,3.0,0.8,1.893674038088903,1.396597591527508,14.3499441143897
2026-03-14 13:00:00-07:00,5.5,7.3,1.7,21.0320306863363,18.224922970629144,12.475847858999508
2026-03-14 14:00:00-07:00,3.6,19.0,4.8,6.752707345384561e-59,4.552835690192069,25.86029432641991
2026-03-14 15:00:00-07:00,2.4,24.4,9.3,3.094660843898809,65.14114182587126,7.832536703559352
2026-03-14 16:00:00-07:00,3.0,262.4,72.8,0.05572357413803564,11.874228560706506,34.42515594589143
2026-03-14 17:00:00-07:00,53.6,270.1,26.6,4.483231654919541,0.00012759171734154777,9.653387443011462e-164
2026-03-14 18:00:00-07:00,7.5,253.9,58.2,6.443003755893575e-08,119.19102184837875,70.99905238500286
2026-03-14 19:00:00-07:00,6.0,49.5,25.2,0.0,2.7194895558059685e-227,0.0007894884859483031
2026-03-14 20:00:00-07:00,1.7,3.3,7.8,0.0,2.1596508002499336e-133,9.009973251847952e-06
2026-03-14 21:00:00-07:00,1.0,2.4,1.6,0.0,6.991122925398061e-129,2.8039468770413285e-06
2026-03-14 22:00:00-07:00,0.7,3.1,3.0,1.1952524588523143e-115,15.412042112406322,6.082536474132406
2026-03-14 23:00:00-07:00,1.0,1.5,4.7,110.32196836345919,69.31851073549467,4.189108622947913
2026-03-15 00:00:00-07:00,0.9,1.9,2.2,0.2956657501962952,0.2860294482038224,9.935690038559488e-12
2026-03-15 01:00:00-07:00,1.1,1.5,1.6,1.9127737503826856e-196,1.3371466995257264e-07,0.13498140373032858
2026-03-15 02:00:00-07:00,1.0,1.5,1.3,0.0,4.451694656399744e-14,0.10535980144730485
2026-03-15 03:00:00-07:00,0.8,1.3,1.4,0.09197976511495753,0.023585622439033983,6.682647576827868e-05
2026-03-15 04:00:00-07:00,1.6,1.7,2.0,5.166304475708455,4.059529165524591,0.07322202814798724
2026-03-15 05:00:00-07:00,3.5,1.8,1.4,9.564697803442499,0.9295434432027998,1.4745822645293059
2026-03-15 06:00:00-07:00,2.9,3.2,0.6,9.240339527131725,5.559092653236438,0.12243878682732216
2026-03-15 07:00:00-07:00,1.3,3.1,0.4,7.764479064303074,4.7465895311381585,0.17806628487959833
2026-03-15 08:00:00-07:00,1.7,1.3,0.4,0.9061176612688043,0.7451650894262583,5.513402029926887
2026-03-15 09:00:00-07:00,1.4,1.9,0.4,8.725821812047384,5.320242450100635,0.18009755640278186
2026-03-15 10:00:00-07:00,2.2,1.3,0.4,1.5154371947366772,1.2023554607629843,5.274486331747106
2026-03-15 11:00:00-07:00,3.2,2.7,0.7,4.001288041419705,0.6237863016182768,12.424173049716284
2026-03-15 12:00:00-07:00,3.1,4.6,1.1,11.777837856850988,0.31672779975086995,6.355020837501708
2026-03-15 13:00:00-07:00,1.1,2.7,3.6,10.961312763666042,4.718082336034415,1.4170313106965362
2026-03-15 14:00:00-07:00,8.1,299.4,1.5,44.11007844642539,22.895266812486888,4.424087020948255
2026-03-15 15:00:00-07:00,17.1,252.2,0.4,17.945088736783934,6.28527322209734,17.899923710929986
2026-03-15 16:00:00-07:00,8.9,273.5,7.9,0.0,172.17386936933258,41.53133126024935
2026-03-15 17:00:00-07:00,3.0,139.5,34.0,0.0,1.3722503683583223e-63,3.2502829638654368e-49
2026-03-15 18:00:00-07:00,0.7,32.5,9.8,0.0,2.119939939886633e-48,0.16387741727439203
2026-03-15 19:00:00-07:00,0.8,24.0,4.5,0.0,6.668307089001677e-109,4.6953707759726235
2026-03-15 20:00:00-07:00,0.6,16.3,4.1,0.0,0.0,0.0026891762903866225
2026-03-15 21:00:00-07:00,0.9,3.7,1.4,0.0,1.3506222436979136e-33,2.159771975979153e-14
2026-03-15 22:00:00-07:00,1.1,4.9,0.8,0.0,4.2926532467487076e-157,0.00015120771805402676
2026-03-15 23:00:00-07:00,2.3,2.1,1.0,0.0,4.099091727109625e-62,1.690478868255329e-15
