time,IB CIVIC CTR,NESTOR - BES,SAN YSIDRO,wind_direction_10m,wind_speed_10m,sector_idx,sector,hour_of_day
2026-04-01 22:00:00-07:00,0.3,0.1,113.6,360.0,4.32,0,N,22
2026-04-02 00:00:00-07:00,0.4,0.2,47.9,4.085537,2.5264204,0,N,0
2026-04-02 01:00:00-07:00,0.4,132.3,18.3,42.27363,2.6758924,2,NE,1
2026-04-02 05:00:00-07:00,0.6,294.4,13.4,57.724377,4.0449967,3,ENE,5
2026-04-02 06:00:00-07:00,0.4,62.5,12.6,74.74483,2.0523157,3,ENE,6
2026-04-02 07:00:00-07:00,0.4,0.5,19.4,57.99466,1.6981165,3,ENE,7
2026-04-02 22:00:00-07:00,0.3,7.8,11.2,5.7105074,1.8089776,0,N,22
2026-04-03 00:00:00-07:00,0.4,49.2,22.8,46.73567,4.2021427,2,NE,0
2026-04-03 01:00:00-07:00,0.4,189.4,21.5,35.311302,5.293959,2,NE,1
2026-04-03 21:00:00-07:00,1.9,113.8,23.0,94.39862,2.3469126,4,E,21
2026-04-03 22:00:00-07:00,14.3,147.5,21.1,68.96242,2.5071096,3,ENE,22
2026-04-03 23:00:00-07:00,10.6,84.9,13.6,55.0079,2.19718,2,NE,23
2026-04-07 00:00:00-07:00,0.4,31.4,33.6,360.0,0.35999998,0,N,0
2026-04-07 03:00:00-07:00,0.4,2.6,30.9,18.435053,0.56920993,1,NNE,3
2026-04-10 00:00:00-07:00,0.4,31.9,22.1,7.12493,1.4512063,0,N,0
2026-04-13 06:00:00-07:00,0.4,0.4,25.6,33.6901,2.5959969,1,NNE,6
2026-04-13 07:00:00-07:00,0.4,0.3,34.1,95.44024,3.7971036,4,E,7
2026-04-13 23:00:00-07:00,0.3,0.2,20.6,7.12493,2.9024127,0,N,23
2026-04-14 23:00:00-07:00,0.4,6.3,14.3,6.3401003,1.6299692,0,N,23
