sector,SAN YSIDRO,NESTOR - BES,IB CIVIC CTR,wind_speed_10m,n_hours
N,30.311111111111114,13.411111111111111,1.4222222222222223,2.2081392533333335,9
NNE,10.0,96.60000000000001,0.7857142857142857,1.8703281328571428,7
NE,7.6461538461538465,50.53076923076924,4.230769230769231,2.6991145676923076,13
ENE,6.246153846153846,47.707692307692305,3.0923076923076924,2.6053321615384615,13
E,5.957142857142857,16.307142857142857,5.371428571428572,3.803242247857143,14
ESE,2.7076923076923074,34.23846153846154,12.353846153846153,2.5021376538461535,13
SE,4.470000000000001,95.295,38.83,3.7463723950000003,20
SSE,3.4941176470588236,72.09411764705882,17.423529411764704,4.297795629411764,17
S,5.0,92.98333333333333,18.29090909090909,4.531980556666666,12
SSW,4.613333333333333,31.146666666666665,12.157142857142857,6.832832373333333,15
SW,3.738888888888889,57.89999999999999,2.772222222222222,10.085977344444444,18
WSW,4.771052631578947,7.7299999999999995,1.2666666666666668,8.720456576190477,42
W,5.566666666666666,12.34,1.1228070175438596,8.603458860655739,61
WNW,6.389743589743589,1.0523809523809524,0.5214285714285714,8.474012790476191,42
NW,15.38888888888889,1.7111111111111112,0.48888888888888893,5.572218588888889,9
NNW,29.328571428571426,83.21428571428571,0.8571428571428571,3.0518148571428574,7
