name,archetype,rate_baseline,rate_v36
Stewart's Drain,drain,0.0752591340317045,0.08046908543226369
Smuggler's Gulch,drain,0.6138291053528988,0.7836296437855179
Hollister St PS,drain,2.695876687890061,3.6068403321155733
Goat Canyon,drain,0.23207223326311513,0.2765758584545577
Goat Canyon PS,drain,0.6404151869516967,0.8295566856904871
Del Sol Canyon,drain,2.0409002725158306e-63,4.34453313103089e-37
Silva Drain,drain,0.05024013840784211,0.08145405024092996
Saturn Blvd Bridge,channel,0.4302098239493711,0.7189646986741355
Hollister St Bridge N,channel,4.009643540271325e-60,3.6645494678278556e-30
Hollister St Bridge S,channel,0.0664400105591699,0.10090214954651004
Dairy Mart Bridge,channel,0.09206132487459279,0.13435763146272284
Oneonta Slough Near IB,estuary,0.14881938222154686,0.1193071295174335
Tijuana River Beach Outlet,estuary,0.1748192284652502,5.9759599199933524e-27
Tijuana River Crossing CDLP W,channel,0.11442102014666423,0.10324440642949731
Tijuana River Crossing CDLP E,channel,0.2695266804259821,0.31631503028407176
San Diego Bay ponds Otay River Outlet,bay,0.5722792167045356,0.7729756670152658
San Diego Bay Ponds near Fruitdale,bay,0.2378474523452105,0.28410052132456237
channel_00,channel,2.0891932057443277e-08,0.04824856457223175
channel_01,channel,0.6156913368664751,0.7920804510790769
channel_02,channel,1.147060874481633e-62,7.400742285099714e-33
channel_03,channel,1.0932505425135941e-58,4.2365053277989096e-35
channel_04,channel,0.21480807147872233,0.23336706612406827
channel_05,channel,1.588799344777304e-59,1.0429213991960751e-37
channel_06,channel,0.5693185937393778,0.8557597544436861
channel_07,channel,0.5831685753459847,0.7143231745397958
channel_08,channel,0.06826096554532934,0.016732566777254883
channel_09,channel,0.10500436260459306,0.15573275315357138
channel_10,channel,3.010629101091555e-60,4.40060252138418e-32
channel_11,channel,0.08145369486545252,0.1332542579909358
estuary_00,estuary,0.07902843671376807,0.11162904192918785
estuary_01,estuary,0.18540232228370904,0.3396678719656202
estuary_02,estuary,0.804600504519161,0.917470413064258
estuary_03,estuary,7.504100138198303e-54,1.1273797963655737e-31
estuary_04,estuary,0.01158009662239393,0.017328346995993404
estuary_05,estuary,0.030889576422959433,0.052500406869660905
estuary_06,estuary,0.0008763217671889209,0.003810474020835423
estuary_07,estuary,2.3121089371232218e-14,1.2854684834966814e-15
estuary_08,estuary,0.020818692034517482,0.025759242923287108
ne00,northeast,0.09356841287581508,0.1050138899555719
ne01,northeast,0.010426311453615956,0.014717161711082276
ne02,northeast,0.17644090827611789,0.2920855134213105
ne10,northeast,1.9871196579656298e-60,5.5309883648565354e-36
ne11,northeast,0.4421645672094085,0.5430314199264699
ne12,northeast,0.0380259516313973,1.2550650090389843e-35
ne20,northeast,0.3142487680145107,0.3875850418226925
ne21,northeast,0.4537830597066791,0.6549732785751026
ne22,northeast,0.23086918968674575,0.2480919240938117
ne30,northeast,0.39656711541803824,0.6828689426738153
ne31,northeast,0.25711560650799187,0.2979745104505909
ne32,northeast,0.07021960314391687,0.09384680310144848
syW,sy_nearfield,2.776472944258653e-63,2.3735274275223595e-32
syWNW,sy_nearfield,0.09928554218426738,0.1666141789986277
syNW,sy_nearfield,0.07113441267170756,0.12151788769661731
syE,sy_nearfield,0.007513300675459024,0.011582435594198554
syS,sy_nearfield,0.0129935992731946,0.02058774906589358
