time,H2S,wind_speed_10m,wind_direction_10m,wind_gusts_10m,stable_atm
2026-05-10 20:00:00-07:00,4.9,5.506941,258.6901,19.8,0
2026-05-10 21:00:00-07:00,1.5,3.438895,276.0089,15.119999,1
2026-05-10 22:00:00-07:00,4.9,2.34,270.0,9.72,1
2026-05-10 23:00:00-07:00,171.3,1.7076298,288.43503,7.2,1
2026-05-11 00:00:00-07:00,177.1,1.659518,319.39877,6.12,1
2026-05-11 01:00:00-07:00,171.1,1.5379207,339.44388,4.68,1
2026-05-11 02:00:00-07:00,155.8,2.5264204,355.91446,5.3999996,1
2026-05-11 03:00:00-07:00,36.8,3.710795,14.036275,8.28,1
2026-05-11 04:00:00-07:00,1.1,5.7176566,28.178495,11.159999,0
2026-05-11 05:00:00-07:00,1.1,6.206738,16.858482,11.879999,0
